id,created_at,text
1152311900887085056,2019-07-19 20:19:00,"- Live da Semana (18/07/2019) completa já disponível no canal Jair Bolsonaro, no Youtube: https://t.co/eDjaFjwRNE"
1152267351020179456,2019-07-19 17:21:59,RT @VicenteSantini: A ideia do #FutureSe é dar maior autonomia financeira para as universidades e estimular investimentos do mercado de ser…
1152208690910564352,2019-07-19 13:28:53,"- Em minha primeira participação na Cúpula do Mercosul, alcançamos resultados que fazem a diferença na vida do cidadãos. Destaco acordo fechado para eliminar a cobrança do ""roaming"" de telefonia para quem viaja de um país para outro dentro do bloco. Seguimos desburocratizando! 🇧🇷"
1152180699509743616,2019-07-19 11:37:39,https://t.co/f5FStg5ryc
1152046487599271937,2019-07-19 02:44:21,- O período em que nasci de novo. Agradeço a Deus pela minha vida e a todos vocês pelo apoio! 🇧🇷 https://t.co/dRvoPGtjyl
1152036400138579968,2019-07-19 02:04:16,- Para descontrair. Proibido queimar ovo. (Kkkk) https://t.co/dmqM8DT8Fz
1152024838304747520,2019-07-19 01:18:19,"- 200 dias de governo. Muito fizemos, mas ainda há muito a fazer. Juntos, estamos mudando o destino do nosso Brasil. 🇧🇷 via - @planalto https://t.co/mvNh2uniUR"
1152022561921744896,2019-07-19 01:09:16,"- O programa funciona por adesão, então participa a universidade assim desejar. A expectativa é que sejam alocados bilhões anualmente, que serão investidos na própria educação, premiando professores que publicarem artigos em revistas de ponta e viabilizando ações na cultura."
1152022559598100480,2019-07-19 01:09:16,"- Ontem, em audiência no MEC, o Ministro @AbrahamWeint lançou o Future-se, programa que possibilita a arrecadação de patrocínio para pesquisas e a criação de empresas, aproximando os universitários do mercado de trabalho e o Brasil do modelo das melhores universidades do mundo."
1151993387240738816,2019-07-18 23:13:21,"- Hoje a Petrobrás anuncia a redução do preço do litro da gasolina em 2,1% e do diesel em 2,2%. 👍"
1151919777570590723,2019-07-18 18:20:51,"- Atendendo à necessidade da comunidade autista no Brasil e reconhecendo a importância do tema, sancionamos hoje a Lei 13.861/2019 que inclui dados específicos sobre autismo no Censo do IBGE. Uma boa tarde a todos!"
1151666109793361923,2019-07-18 01:32:52,"- MERCOSUL tem novo Presidente. Obrigado, Brasil, pela confiança! 🇧🇷 https://t.co/EgUZjHG9LQ"
1151654113668751361,2019-07-18 00:45:12,"RT @tarcisiogdf: Mais 12km da BR-230/PA (Transamazônica) que estão sendo pavimentados pelo Governo @JairBolsonaro, entre Marabá e a divisa…"
1151521661096792064,2019-07-17 15:58:52,"- Com a retomada do crescimento econômico e a liderança do nosso Brasil, o Século XXI tem tudo para ser o Século da América do Sul. Vamos mudar os rumos da nossa história! 🇧🇷"
1151521656105504768,2019-07-17 15:58:51,"- Neste semestre, assumiremos a presidência do Mercosul, com um plano de ação ambicioso: eliminar o viés ideológico do bloco, enxugar sua estrutura, revisar a Tarifa Externa Comum e acelerar as negociações comerciais com grandes economias de todo o mundo."
1151521656105504768,2019-07-17 15:58:51,"- Neste semestre, assumiremos a presidência do Mercosul, com um plano de ação ambicioso: eliminar o viés ideológico do bloco, enxugar sua estrutura, revisar a Tarifa Externa Comum e acelerar as negociações comerciais com grandes economias de todo o mundo."
1151521654687883265,2019-07-17 15:58:51,"- Estou em Santa Fé, na Argentina, para a Cúpula do Mercosul. O momento é de celebração para o bloco, depois do histórico acordo com a União Europeia, que ajudará a modernizar nossas economias, estimular o crescimento e gerar empregos, mas o trabalho não pode parar."
1151512324076965888,2019-07-17 15:21:46,👍 https://t.co/oUYgdVDuP9
1151475339668987904,2019-07-17 12:54:49,"RT @matteosalvinimi: Felice che l’amico Eduardo Bolsonaro sia stato indicato come prossimo Ambasciatore del Brasile negli Stati Uniti, dall…"
1151287686650634242,2019-07-17 00:29:09,"- Grande notícia! Conseguimos concluir a venda de cinco aeronaves Embraer KC-390 para a Força Aérea Portuguesa, após autorização da aquisição pelo Governo de Portugal, que contribuiu ativamente para o desenvolvimento do KC, exemplo da tecnologia de ponta que produzimos no Brasil."
1151235050131922947,2019-07-16 20:59:59,@rafinhabastos - https://t.co/ZJGFBLgD1G- Forte Abraço.
1151232495150600192,2019-07-16 20:49:50,RT @AbrahamWeint: Irei tomar todas as medidas cabíveis para a responsabilização dos envolvidos pela má gestão na UFMT. Os quatro campi sem…
1151232469531840512,2019-07-16 20:49:44,RT @AbrahamWeint: É um absurdo as contas de energia da UFMT não terem sido pagas. Tomei conhecimento da necessidade de repasse emergencial…
